http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/aSide>	Cosa	un lado	525	522927
http://dbpedia.org/ontology/Person	<http://dbpedia.org/ontology/activeYearsEndDate>	persona	Fecha final del año activo	1	116647
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/activeYearsEndDate>	agente	Fecha final del año activo	1	134400
http://dbpedia.org/ontology/PeriodicalLiterature	<http://dbpedia.org/ontology/activeYearsEndDate>	publicaciones periódicas	Fecha final del año activo	1	586
http://dbpedia.org/ontology/President	<http://dbpedia.org/ontology/activeYearsEndDate>	presidente	Fecha final del año activo	1	11996
http://dbpedia.org/ontology/Work	<http://dbpedia.org/ontology/activeYearsEndDate>	trabajar	Fecha final del año activo	1	59495
http://dbpedia.org/ontology/WrittenWork	<http://dbpedia.org/ontology/activeYearsEndDate>	trabajo escrito	Fecha final del año activo	1	3214
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/activeYearsEndDate>	Cosa	Fecha final del año activo	2	522927
http://dbpedia.org/ontology/Person	<http://dbpedia.org/ontology/activeYearsEndYear>	persona	años de actividad de fin de año	8955	116647
http://dbpedia.org/ontology/AdministrativeRegion	<http://dbpedia.org/ontology/activeYearsEndYear>	región administrativa	años de actividad de fin de año	35336	150078
http://dbpedia.org/ontology/Artist	<http://dbpedia.org/ontology/activeYearsEndYear>	artista	años de actividad de fin de año	4073	38643
http://dbpedia.org/ontology/Athlete	<http://dbpedia.org/ontology/activeYearsEndYear>	atleta	años de actividad de fin de año	4882	37264
http://dbpedia.org/ontology/MusicalArtist	<http://dbpedia.org/ontology/activeYearsEndYear>	artista musical	años de actividad de fin de año	3448	16831
http://dbpedia.org/ontology/Place	<http://dbpedia.org/ontology/activeYearsEndYear>	lugar	años de actividad de fin de año	35336	188205
http://dbpedia.org/ontology/PopulatedPlace	<http://dbpedia.org/ontology/activeYearsEndYear>	lugar poblado	años de actividad de fin de año	35336	152930
http://www.w3.org/2002/07/owl#Thing	<http://dbpedia.org/ontology/activeYearsEndYear>	Cosa	años de actividad de fin de año	44291	522927
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/activeYearsStartYear>	agente	años de actividad comenzará el año	32751	134400
http://dbpedia.org/ontology/Athlete	<http://dbpedia.org/ontology/activeYearsStartYear>	atleta	años de actividad comenzará el año	17824	37264
http://dbpedia.org/ontology/ArchitecturalStructure	<http://dbpedia.org/ontology/address>	estructura arquitectónica	dirección	2684	29780
http://dbpedia.org/ontology/Station	<http://dbpedia.org/ontology/address>	estación	dirección	2433	6626
http://dbpedia.org/ontology/Agent	<http://dbpedia.org/ontology/affiliation>	agente	afiliación	368	134400
