emancipation-nn' emancipate-vb'
take-in-nn' take-in-vb'
canalisation-nn' canalise-vb'
canalisation-nn' canal-vb'
persecutor-nn' persecute-vb'
marginalization-nn' marginalize-vb'
vocalization-nn' vocalize-vb'
coverage-nn' cover-vb'
captain-nn' captain-vb'
catena-nn' catenate-vb'
catena-nn' catenulate-vb'
shouting-nn' shout-vb'
pitting-nn' pit-vb'
jolt-nn' jolt-vb'
nerve-nn' nerve-vb'
invigilator-nn' invigilate-vb'
upstager-nn' upstage-vb'
decrescendo-nn' decrescendo-vb'
highlighter-nn' highlight-vb'
recall-nn' recall-vb'
jack-nn' jack-vb'
destabilisation-nn' destabilise-vb'
harbinger-nn' harbinger-vb'
rut-nn' rut-vb'
powder-nn' powderize-vb'
powder-nn' powder-vb'
citric-acid-nn' citrate-vb'
dispersal-nn' disperse-vb'
break-in-nn' break-in-vb'
reorganization-nn' reorganize-vb'
tack-nn' tack-vb'
lecture-nn' lecture-vb'
litigation-nn' litigate-vb'
consignee-nn' consign-vb'
scourer-nn' scour-vb'
bolt-nn' bolt-vb'
firebomb-nn' firebomb-vb'
vulgariser-nn' vulgarise-vb'
exporting-nn' export-vb'
licensee-nn' license-vb'
reason-nn' reason-vb'
broadcast-nn' broadcast-vb'
strangulation-nn' strangle-vb'
strangulation-nn' strangulate-vb'
teller-nn' tell-vb'
trip-up-nn' trip-up-vb'
dichotomization-nn' dichotomize-vb'
alphabet-nn' alphabetise-vb'
alphabet-nn' alphabetize-vb'
mow-nn' mow-vb'
vomiter-nn' vomit-vb'
sole-nn' sole-vb'
rig-nn' rig-vb'
clarification-nn' clarify-vb'
fix-nn' fix-vb'
mulch-nn' mulch-vb'
slugger-nn' slug-vb'
population-nn' populate-vb'
progression-nn' progress-vb'
electroplater-nn' electroplate-vb'
crenelle-nn' crenelate-vb'
crenelle-nn' crenellate-vb'
list-nn' list-vb'
intent-nn' intend-vb'
sublet-nn' sublet-vb'
pivot-nn' pivot-vb'
sterilizer-nn' sterilize-vb'
tampering-nn' tamper-vb'
hearer-nn' hear-vb'
increase-nn' increase-vb'
cough-nn' cough-vb'
revoke-nn' revoke-vb'
roller-nn' roll-vb'
resilience-nn' resile-vb'
dignity-nn' dignify-vb'
roughcast-nn' roughcast-vb'
information-nn' inform-vb'
curse-nn' curse-vb'
burlesque-nn' burlesque-vb'
libeler-nn' libel-vb'
baking-nn' bake-vb'
aerator-nn' aerate-vb'
sensitization-nn' sensitize-vb'
bicyclist-nn' bicycle-vb'
mending-nn' mend-vb'
scent-nn' scent-vb'
tarmac-nn' tarmac-vb'
housekeeping-nn' housekeep-vb'
risk-nn' risk-vb'
jive-nn' jive-vb'
fatigue-nn' fatigue-vb'
deviant-nn' deviate-vb'
instalment-nn' instal-vb'
label-nn' label-vb'
sculpture-nn' sculpt-vb'
sculpture-nn' sculpture-vb'
swamp-nn' swamp-vb'
watercolor-nn' watercolor-vb'
dance-nn' dance-vb'
overtaking-nn' overtake-vb'
enrolment-nn' enrol-vb'
transformation-nn' transform-vb'
herald-nn' herald-vb'
pod-nn' pod-vb'
saliva-nn' salivate-vb'
nark-nn' nark-vb'
costumer-nn' costume-vb'
raster-nn' rasterize-vb'
supervision-nn' supervise-vb'
fuck-nn' fuck-vb'
deposit-nn' deposit-vb'
bubble-nn' bubble-vb'
carbonization-nn' carbonize-vb'
enchantment-nn' enchant-vb'
frustration-nn' frustrate-vb'
respiration-nn' respire-vb'
locale-nn' localize-vb'
formulation-nn' formulate-vb'
satire-nn' satirize-vb'
satire-nn' satirise-vb'
sousing-nn' souse-vb'
pot-nn' pot-vb'
culmination-nn' culminate-vb'
waxing-nn' wax-vb'
alphabetizer-nn' alphabetize-vb'
addiction-nn' addict-vb'
ebbing-nn' ebb-vb'
rounder-nn' round-vb'
symphony-nn' symphonize-vb'
roasting-nn' roast-vb'
stonewaller-nn' stonewall-vb'
clapboard-nn' clapboard-vb'
skinny-dipper-nn' skinny-dip-vb'
confidant-nn' confide-vb'
hammer-nn' hammer-vb'
retaking-nn' retake-vb'
retailer-nn' retail-vb'
rigidity-nn' rigidify-vb'
emptying-nn' empty-vb'
singer-nn' sing-vb'
expurgator-nn' expurgate-vb'
locomotion-nn' locomote-vb'
dissonance-nn' dissonate-vb'
fossilization-nn' fossilize-vb'
foul-nn' foul-vb'
misleader-nn' mislead-vb'
romance-nn' romance-vb'
tickling-nn' tickle-vb'
finish-nn' finish-vb'
thumbtack-nn' thumbtack-vb'
lover-nn' love-vb'
inoculant-nn' inoculate-vb'
hone-nn' hone-vb'
demagnetization-nn' demagnetize-vb'
jot-nn' jot-vb'
mutter-nn' mutter-vb'
blue-nn' blue-vb'
pinnacle-nn' pinnacle-vb'
paving-nn' pave-vb'
clinker-nn' clinker-vb'
riser-nn' rise-vb'
installation-nn' install-vb'
walloper-nn' wallop-vb'
tripling-nn' triple-vb'
abrogation-nn' abrogate-vb'
wobbler-nn' wobble-vb'
deportment-nn' deport-vb'
amputation-nn' amputate-vb'
butcher-nn' butcher-vb'
charioteer-nn' chariot-vb'
hemstitching-nn' hemstitch-vb'
gel-nn' gel-vb'
stage-nn' stage-vb'
fester-nn' fester-vb'
vivification-nn' vivify-vb'
enfeeblement-nn' enfeeble-vb'
novelization-nn' novelize-vb'
dapple-nn' dapple-vb'
revolution-nn' revolve-vb'
revolution-nn' revolutionize-vb'
revolution-nn' revolt-vb'
revolution-nn' revolutionise-vb'
